                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3192,                 1.9923,                 1.5067,                 1.3463,                 2.3148,                  1.485,                0.31934,                0.42754,                0.27406,                0.13323,                 1.5986,                 2.2344,                 1.9229,                 1.6614,                 2.2375,                 1.9885,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4761,                 2.0164,                 1.6337,                 1.5395,                 2.1961,                 1.6341,                0.28895,                0.38811,                0.23694,                0.12455,                 1.5399,                 2.2969,                 1.8158,                 1.5462,                 2.3135,                  1.797,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4415,                 1.9273,                 1.6029,                 1.5022,                 2.0999,                 1.5965,                0.33381,                0.45341,                0.30649,                0.17275,                 1.3909,                 1.9947,                 1.6966,                 1.4387,                 2.0509,                 1.7127,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.3413,                 1.7967,                 1.5363,                 1.4074,                  1.967,                 1.5404,                0.36556,                0.49625,                0.35026,                0.19804,                 1.3998,                 1.7796,                  1.668,                  1.459,                 1.8968,                 1.7006,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3061,                 1.7148,                 1.5192,                 1.3684,                 1.8881,                 1.5299,                0.38795,                0.53304,                0.41202,                0.25488,                 1.2259,                 1.5812,                  1.536,                 1.2789,                 1.6205,                 1.5779,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.2371,                 1.6029,                 1.4653,                 1.3111,                 1.7563,                 1.4798,                0.46709,                0.53679,                0.46541,                0.29822,                 1.1429,                 1.4747,                 1.4793,                 1.2128,                 1.5288,                 1.5232,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.1739,                 1.5493,                 1.4253,                 1.2543,                 1.6838,                 1.4505,                0.45691,                0.59336,                0.45036,                 0.2953,                 1.1218,                 1.4779,                 1.4625,                  1.169,                 1.5247,                 1.4874,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1449,                 1.5047,                 1.4035,                 1.2192,                 1.6495,                 1.4275,                0.47775,                0.58553,                0.48615,                0.32411,                 1.0695,                 1.4115,                 1.4172,                 1.1313,                 1.4635,                 1.4494,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.1213,                 1.4473,                 1.3875,                 1.1986,                 1.5782,                 1.4108,                0.48228,                0.58835,                0.50743,                0.34737,                 1.0468,                 1.3159,                 1.3976,                 1.0879,                 1.3473,                 1.4228,                0.00133,                0.00133,                0.00133
                     10,                 1.0981,                 1.4261,                 1.3662,                 1.1777,                 1.5607,                 1.3925,                0.47652,                 0.5644,                 0.5237,                0.35868,                 1.0144,                 1.2997,                 1.3828,                 1.0641,                 1.3439,                 1.4106,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0742,                 1.3857,                 1.3543,                 1.1544,                 1.5148,                 1.3825,                0.54508,                0.58968,                0.56381,                0.38785,                 1.0038,                 1.2293,                 1.3707,                 1.0558,                 1.2607,                  1.397,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.0555,                 1.3365,                 1.3338,                  1.138,                 1.4513,                 1.3608,                0.53908,                 0.6089,                0.56933,                0.39845,                0.96718,                 1.2229,                 1.3379,                 1.0251,                 1.2577,                 1.3645,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.0359,                 1.3173,                 1.3231,                 1.1213,                 1.4376,                 1.3528,                0.50707,                0.64289,                 0.5665,                0.38912,                0.99921,                 1.2118,                 1.3616,                 1.0501,                 1.2716,                 1.3867,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.0019,                 1.2816,                 1.3023,                 1.0864,                 1.3922,                 1.3285,                 0.5546,                0.61959,                0.60761,                0.42284,                0.98187,                 1.1735,                   1.35,                 1.0275,                 1.2153,                  1.372,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.0023,                 1.2573,                 1.2996,                 1.0824,                 1.3636,                 1.3275,                0.60345,                0.60878,                0.61076,                0.43223,                0.94756,                 1.1421,                 1.3274,                 1.0001,                 1.1899,                 1.3532,              0.0012451,              0.0012451,              0.0012451
                     16,                0.97242,                 1.2343,                 1.2741,                 1.0539,                 1.3387,                 1.2998,                0.60074,                0.64181,                0.63065,                0.45249,                0.91941,                  1.098,                 1.3079,                0.96325,                 1.1424,                 1.3248,              0.0012309,              0.0012309,              0.0012309
                     17,                0.95588,                  1.185,                 1.2609,                 1.0342,                 1.2924,                 1.2914,                0.59087,                0.61422,                0.61743,                0.43901,                0.92937,                 1.1104,                 1.3151,                0.99207,                 1.1393,                 1.3447,              0.0012168,              0.0012168,              0.0012168
                     18,                0.96013,                 1.2032,                 1.2712,                 1.0449,                 1.3152,                 1.3024,                0.59491,                0.65341,                0.64305,                0.46315,                0.91437,                 1.1088,                 1.2984,                0.96307,                 1.1346,                 1.3237,              0.0012026,              0.0012026,              0.0012026
                     19,                0.93414,                 1.1722,                 1.2456,                 1.0214,                 1.2736,                 1.2824,                0.60994,                0.63139,                0.64529,                0.47248,                0.90064,                  1.074,                 1.2875,                0.95044,                 1.1102,                 1.3199,              0.0011885,              0.0011885,              0.0011885
                     20,                0.92268,                 1.1334,                 1.2507,                 1.0043,                 1.2247,                 1.2852,                0.59586,                0.64796,                0.63836,                0.45403,                0.95594,                 1.0925,                 1.3243,                0.99965,                 1.1348,                 1.3519,              0.0011744,              0.0011744,              0.0011744
                     21,                0.91485,                 1.1114,                 1.2298,                  1.002,                 1.2091,                 1.2638,                0.58692,                0.66855,                0.66336,                0.48168,                0.90907,                 1.0775,                 1.2943,                0.96153,                  1.113,                 1.3268,              0.0011602,              0.0011602,              0.0011602
                     22,                0.91369,                 1.1087,                 1.2346,                0.99283,                  1.209,                 1.2647,                0.59715,                0.66376,                0.65365,                0.47346,                0.90906,                 1.0436,                 1.3012,                0.95023,                 1.0773,                 1.3224,              0.0011461,              0.0011461,              0.0011461
