                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3383,                 2.0412,                 1.5616,                0.20202,                0.41201,                0.17549,                0.09712,                  1.631,                 4.9539,                 1.9545,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.5121,                 2.0733,                 1.7108,                0.28271,                0.38117,                0.25454,                0.13638,                 1.6495,                 2.2337,                 1.9163,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4921,                 2.0141,                 1.6845,                0.29976,                0.44696,                0.28544,                0.16352,                  1.499,                 2.0791,                 1.8256,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.4283,                 1.9229,                 1.6498,                0.39367,                0.44979,                0.36471,                0.21836,                 1.3622,                 1.9564,                 1.7085,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.349,                  1.809,                 1.5837,                0.39143,                 0.5325,                0.42158,                0.26452,                 1.2451,                 1.7515,                 1.5695,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2912,                 1.7143,                 1.5416,                0.39475,                0.58786,                0.43999,                0.27614,                 1.2333,                  1.619,                 1.5984,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2583,                  1.685,                  1.529,                0.43165,                0.56378,                0.43224,                0.26717,                 1.2628,                 1.6883,                 1.5928,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2131,                 1.6111,                 1.4904,                0.47825,                0.56633,                0.47106,                0.30229,                 1.1766,                 1.5991,                 1.5383,                0.00133,                0.00133,                0.00133
                      9,                 1.1943,                 1.5513,                 1.4797,                0.43269,                0.60908,                0.48697,                0.31896,                  1.134,                 1.5022,                 1.5067,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.146,                 1.5115,                 1.4372,                 0.4601,                0.62894,                0.53041,                0.36222,                 1.0821,                 1.3972,                 1.4489,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1286,                  1.473,                 1.4298,                0.52915,                 0.6243,                 0.5654,                0.38929,                 1.0563,                 1.3244,                 1.4192,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1142,                 1.4412,                 1.4151,                0.51913,                0.61138,                0.55254,                0.37586,                 1.0839,                 1.3538,                 1.4493,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0937,                 1.4214,                 1.3994,                0.53133,                0.62042,                0.56266,                0.38943,                 1.0708,                 1.2878,                 1.4247,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0748,                 1.3741,                 1.3864,                0.54995,                0.62562,                0.57947,                 0.4032,                 1.0223,                 1.2737,                 1.4047,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0649,                  1.364,                 1.3861,                0.52985,                0.62062,                0.58347,                0.41815,                0.98359,                 1.2361,                 1.3685,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.0622,                 1.3493,                 1.3829,                 0.5573,                0.65501,                0.60308,                  0.427,                 1.0048,                 1.1925,                 1.3846,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.0286,                 1.2962,                 1.3486,                0.56924,                0.65724,                0.62699,                0.44507,                0.97935,                 1.1822,                  1.358,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0062,                 1.2815,                 1.3401,                0.55286,                0.64781,                0.60879,                0.43569,                0.97666,                  1.208,                 1.3612,              0.0011885,              0.0011885,              0.0011885
                     19,                0.99673,                 1.2631,                 1.3309,                0.58212,                0.63117,                0.62558,                0.44844,                0.96063,                 1.1583,                 1.3503,              0.0011744,              0.0011744,              0.0011744
                     20,                0.98862,                 1.2408,                 1.3207,                0.62091,                0.64374,                0.64444,                0.47272,                0.92869,                 1.1404,                 1.3336,              0.0011602,              0.0011602,              0.0011602
                     21,                0.97245,                 1.2183,                 1.3091,                0.61886,                0.66422,                0.66446,                0.48153,                 0.9432,                 1.1016,                 1.3286,              0.0011461,              0.0011461,              0.0011461
