                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3217,                 2.0116,                 1.5059,                0.25545,                0.48366,                0.24775,                0.13537,                 1.5352,                 2.5109,                 1.8172,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4749,                  2.015,                 1.6477,                0.28581,                0.42297,                0.27156,                0.15023,                 1.4372,                 2.0486,                 1.7255,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4361,                 1.9474,                 1.6217,                0.34351,                0.50303,                0.34604,                0.19695,                 1.3781,                   1.89,                  1.673,              0.0013995,              0.0013995,              0.0013995
                      4,                  1.359,                 1.8182,                 1.5666,                0.38124,                0.51348,                0.39721,                0.24574,                 1.2268,                 1.7398,                   1.55,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2913,                 1.7232,                 1.5193,                0.39468,                0.52782,                0.42133,                 0.2686,                 1.2203,                 1.6142,                  1.541,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2421,                 1.6634,                 1.4868,                0.45447,                 0.5972,                0.47408,                0.30726,                   1.19,                 1.4623,                 1.5219,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.186,                 1.5769,                 1.4449,                0.44512,                0.59946,                0.47912,                0.32081,                  1.106,                  1.423,                  1.453,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1452,                 1.5193,                 1.4157,                0.47479,                0.61595,                0.51469,                0.34697,                  1.074,                 1.3906,                 1.4295,                0.00133,                0.00133,                0.00133
                      9,                 1.1211,                 1.4782,                 1.3976,                0.48115,                 0.6323,                0.51543,                0.35185,                  1.036,                 1.3352,                 1.4089,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0808,                 1.4013,                 1.3636,                0.50359,                0.61802,                0.54505,                0.37709,                 1.0436,                 1.2777,                 1.4067,              0.0013017,              0.0013017,              0.0013017
