                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86223,                 1.0176,                 1.2219,                0.68344,                0.68324,                0.72868,                0.55312,                0.85457,                0.94525,                 1.2723,               0.000948,               0.000948,               0.000948
                     36,                 0.8633,                 1.0059,                 1.2303,                 0.6965,                0.68605,                0.73756,                0.55508,                0.86008,                0.92078,                 1.2817,             0.00093385,             0.00093385,             0.00093385
                     37,                0.84834,                0.99095,                 1.2116,                0.69242,                0.69612,                0.74699,                0.56585,                0.83773,                  0.908,                 1.2604,              0.0009197,              0.0009197,              0.0009197
                     38,                0.83079,                0.97183,                 1.2096,                0.68942,                0.69738,                0.72927,                 0.5582,                0.82211,                0.92971,                 1.2538,             0.00090556,             0.00090556,             0.00090556
                     39,                0.83645,                 0.9608,                 1.2061,                0.66165,                0.72525,                0.73603,                0.56372,                0.82735,                0.91644,                 1.2544,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.8227,                0.95916,                 1.1996,                0.65314,                0.71227,                0.72248,                0.55094,                0.84012,                0.93043,                 1.2723,             0.00087726,             0.00087726,             0.00087726
                     41,                0.82605,                0.94396,                 1.2008,                0.66976,                0.70506,                0.73618,                0.55866,                 0.8483,                0.90785,                 1.2751,             0.00086312,             0.00086312,             0.00086312
                     42,                0.83004,                0.93961,                 1.2018,                0.65868,                 0.7115,                0.73456,                 0.5655,                0.82868,                0.90699,                 1.2594,             0.00084897,             0.00084897,             0.00084897
                     43,                0.81691,                0.92749,                 1.2004,                0.68988,                0.70334,                0.74451,                0.57588,                0.81284,                0.89756,                 1.2512,             0.00083482,             0.00083482,             0.00083482
                     44,                0.81213,                0.91204,                 1.1844,                0.66916,                0.71049,                0.72998,                0.56166,                0.81759,                0.88521,                 1.2525,             0.00082067,             0.00082067,             0.00082067
                     45,                0.79357,                 0.8896,                 1.1821,                0.67437,                0.71879,                0.75197,                0.58063,                0.82482,                0.88828,                  1.248,             0.00080653,             0.00080653,             0.00080653
                     46,                0.78948,                0.89041,                 1.1725,                 0.6578,                0.73282,                0.73278,                0.56209,                0.83378,                0.91256,                 1.2698,             0.00079238,             0.00079238,             0.00079238
                     47,                0.79472,                0.88995,                 1.1733,                0.67855,                0.71394,                0.74819,                0.57877,                0.81451,                 0.8962,                 1.2434,             0.00077823,             0.00077823,             0.00077823
                     48,                0.78433,                0.88381,                 1.1607,                0.69594,                0.72487,                0.75167,                0.58478,                0.81379,                0.86512,                 1.2427,             0.00076409,             0.00076409,             0.00076409
                     49,                0.77774,                0.87166,                  1.163,                0.68766,                 0.7183,                0.74187,                0.57289,                0.81607,                0.88297,                  1.249,             0.00074994,             0.00074994,             0.00074994
                     50,                0.77476,                0.87065,                 1.1609,                0.69584,                0.72341,                0.75772,                0.58916,                0.80855,                0.85933,                 1.2449,             0.00073579,             0.00073579,             0.00073579
                     51,                0.76468,                0.84381,                 1.1618,                0.69284,                0.72255,                0.75634,                 0.5882,                0.80286,                0.86152,                 1.2423,             0.00072164,             0.00072164,             0.00072164
                     52,                0.75839,                0.83236,                 1.1505,                0.69494,                0.71187,                0.74392,                0.57249,                0.81323,                0.87888,                 1.2589,              0.0007075,              0.0007075,              0.0007075
                     53,                0.75933,                0.83002,                   1.15,                0.68495,                0.73088,                 0.7599,                0.58667,                0.81214,                0.86461,                 1.2537,             0.00069335,             0.00069335,             0.00069335
                     54,                0.76104,                0.82002,                 1.1482,                0.72428,                 0.7075,                0.76392,                0.58812,                 0.8221,                0.86924,                 1.2555,              0.0006792,              0.0006792,              0.0006792
                     55,                0.74387,                0.79823,                 1.1335,                0.69321,                0.73515,                0.76593,                0.59836,                0.80283,                0.84513,                 1.2356,             0.00066506,             0.00066506,             0.00066506
