                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.789,                0.90528,                  1.163,                0.66288,                0.71983,                0.73786,                0.56266,                 0.8623,                0.92456,                 1.2586,               0.000948,               0.000948,               0.000948
                     36,                0.79521,                0.89062,                 1.1642,                0.67381,                0.71475,                0.74062,                 0.5627,                 0.8476,                0.92046,                 1.2406,             0.00093385,             0.00093385,             0.00093385
                     37,                0.76901,                0.87173,                 1.1433,                0.71113,                 0.6981,                0.75819,                0.58369,                 0.8472,                0.88979,                  1.248,              0.0009197,              0.0009197,              0.0009197
                     38,                0.76177,                0.85738,                 1.1373,                 0.7099,                0.69792,                0.74752,                0.57097,                0.84223,                0.90588,                 1.2394,             0.00090556,             0.00090556,             0.00090556
                     39,                0.76077,                0.83386,                 1.1399,                0.69804,                0.71721,                0.75655,                 0.5777,                0.84074,                0.90598,                 1.2401,             0.00089141,             0.00089141,             0.00089141
                     40,                0.75813,                0.83156,                  1.139,                0.71276,                 0.7025,                0.75652,                0.57965,                0.84397,                0.88629,                 1.2497,             0.00087726,             0.00087726,             0.00087726
                     41,                 0.7482,                0.81931,                 1.1272,                0.72071,                0.70863,                0.76105,                0.58811,                0.83879,                0.88731,                 1.2411,             0.00086312,             0.00086312,             0.00086312
                     42,                0.74305,                0.79963,                 1.1234,                0.69697,                0.71878,                0.75854,                0.58459,                0.83803,                0.90936,                 1.2417,             0.00084897,             0.00084897,             0.00084897
                     43,                0.74532,                0.80205,                 1.1269,                0.69312,                0.72841,                0.76011,                0.58528,                0.83419,                0.88313,                 1.2413,             0.00083482,             0.00083482,             0.00083482
                     44,                0.73669,                0.79208,                 1.1192,                0.71573,                0.71634,                0.76587,                0.59151,                0.83787,                0.87363,                 1.2414,             0.00082067,             0.00082067,             0.00082067
                     45,                0.73108,                0.78752,                 1.1166,                0.69679,                0.71518,                0.75377,                0.58422,                0.83526,                0.89662,                 1.2357,             0.00080653,             0.00080653,             0.00080653
                     46,                0.72112,                0.77344,                 1.1033,                0.69845,                0.72768,                0.76027,                0.58927,                0.83171,                0.87962,                 1.2409,             0.00079238,             0.00079238,             0.00079238
                     47,                0.72156,                0.77898,                 1.1088,                0.70794,                0.70594,                0.76816,                0.59465,                0.82807,                0.86199,                  1.234,             0.00077823,             0.00077823,             0.00077823
                     48,                0.71255,                0.74405,                 1.0992,                0.67547,                0.73217,                 0.7607,                 0.5913,                0.83147,                0.90679,                 1.2337,             0.00076409,             0.00076409,             0.00076409
                     49,                0.71449,                0.75817,                 1.1022,                0.69731,                0.72349,                0.75874,                0.58514,                0.83617,                 0.8874,                 1.2381,             0.00074994,             0.00074994,             0.00074994
                     50,                0.70445,                0.72355,                 1.0921,                0.73834,                0.69545,                0.75996,                0.58429,                0.84066,                0.88329,                 1.2454,             0.00073579,             0.00073579,             0.00073579
                     51,                0.69186,                0.71688,                 1.0877,                0.73406,                0.70082,                0.76813,                0.59627,                0.83227,                0.86625,                 1.2392,             0.00072164,             0.00072164,             0.00072164
                     52,                0.69464,                0.71204,                 1.0899,                0.72721,                0.72568,                0.77051,                0.59773,                0.82093,                0.86899,                 1.2317,              0.0007075,              0.0007075,              0.0007075
                     53,                0.69628,                 0.6926,                 1.0867,                0.70755,                0.72829,                0.75456,                0.58622,                0.82301,                0.88213,                  1.221,             0.00069335,             0.00069335,             0.00069335
                     54,                0.67762,                0.67575,                  1.074,                0.71165,                0.71298,                0.76245,                0.59578,                 0.8229,                0.86895,                 1.2313,              0.0006792,              0.0006792,              0.0006792
                     55,                 0.6709,                0.67644,                 1.0756,                 0.7123,                0.71716,                0.76014,                0.59172,                0.82202,                0.87165,                 1.2289,             0.00066506,             0.00066506,             0.00066506
                     56,                0.66865,                0.67335,                 1.0759,                0.72397,                0.71425,                0.76286,                0.59451,                0.82943,                0.87829,                 1.2386,             0.00065091,             0.00065091,             0.00065091
                     57,                0.66778,                0.67324,                 1.0692,                0.72182,                0.72179,                0.76997,                0.59865,                0.82655,                0.86374,                 1.2336,             0.00063676,             0.00063676,             0.00063676
                     58,                0.66106,                0.66554,                 1.0653,                0.73607,                 0.7013,                0.76008,                0.59214,                0.81532,                0.88697,                 1.2173,             0.00062262,             0.00062262,             0.00062262
                     59,                0.65728,                0.64486,                  1.062,                 0.7377,                 0.7086,                   0.77,                0.60458,                0.80929,                0.86143,                 1.2157,             0.00060847,             0.00060847,             0.00060847
                     60,                0.65746,                0.64301,                 1.0605,                0.71771,                0.72523,                0.76667,                0.60142,                0.80863,                0.87248,                 1.2245,             0.00059432,             0.00059432,             0.00059432
                     61,                0.64247,                0.62767,                 1.0552,                0.71615,                0.70516,                 0.7609,                0.59846,                0.81181,                0.90173,                 1.2319,             0.00058017,             0.00058017,             0.00058017
                     62,                0.63977,                 0.6137,                 1.0499,                0.72542,                0.71959,                0.77248,                 0.6063,                0.81159,                0.88084,                  1.232,             0.00056603,             0.00056603,             0.00056603
                     63,                 0.6357,                0.60774,                 1.0455,                0.70129,                0.73692,                  0.766,                0.60041,                 0.8179,                 0.8721,                  1.237,             0.00055188,             0.00055188,             0.00055188
                     64,                0.62368,                0.59317,                 1.0415,                0.70788,                0.73618,                0.77413,                0.61068,                0.81022,                0.87621,                 1.2194,             0.00053773,             0.00053773,             0.00053773
                     65,                 0.6279,                0.59265,                 1.0385,                0.72896,                0.70806,                0.76304,                0.60304,                0.80881,                 0.8952,                 1.2326,             0.00052359,             0.00052359,             0.00052359
                     66,                0.62019,                0.59603,                 1.0388,                0.72711,                0.71141,                0.76789,                0.60709,                0.80835,                0.89171,                 1.2313,             0.00050944,             0.00050944,             0.00050944
                     67,                0.62171,                0.58111,                  1.039,                0.70014,                0.74276,                0.76448,                0.60316,                0.80855,                 0.8921,                 1.2267,             0.00049529,             0.00049529,             0.00049529
                     68,                0.61741,                0.57107,                 1.0335,                0.71659,                0.72767,                 0.7601,                0.59746,                0.81196,                 0.8961,                 1.2258,             0.00048114,             0.00048114,             0.00048114
                     69,                0.61294,                0.56013,                  1.036,                0.72745,                0.72307,                0.76376,                0.60054,                0.81001,                0.89971,                 1.2369,               0.000467,               0.000467,               0.000467
                     70,                0.60764,                 0.5615,                  1.025,                 0.7196,                0.72784,                0.75625,                 0.5915,                0.81807,                0.90115,                  1.243,             0.00045285,             0.00045285,             0.00045285
                     71,                0.61105,                0.56538,                 1.0342,                 0.7266,                0.72021,                0.76923,                0.60818,                0.80511,                0.89961,                 1.2279,              0.0004387,              0.0004387,              0.0004387
                     72,                 0.5938,                0.54878,                 1.0193,                0.73363,                0.71004,                0.76799,                0.60656,                0.81326,                0.90832,                 1.2414,             0.00042456,             0.00042456,             0.00042456
