                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.87508,                 1.0361,                 1.2082,                0.96025,                 1.1386,                 1.2394,                 0.6378,                 0.6827,                0.69878,                0.51852,                0.88208,                0.97624,                 1.2528,                0.93791,                 1.0089,                 1.2779,              0.0011178,              0.0011178,              0.0011178
                     25,                0.86306,                 1.0057,                 1.2043,                0.94523,                 1.1001,                 1.2366,                0.65234,                0.67043,                0.70742,                0.52143,                 0.8875,                0.97837,                 1.2643,                0.94043,                 1.0185,                 1.2858,              0.0011036,              0.0011036,              0.0011036
                     26,                0.86418,                0.98814,                 1.1985,                0.95107,                  1.079,                 1.2327,                0.64404,                0.68424,                0.71081,                0.52512,                 0.8758,                0.99852,                 1.2555,                0.92571,                 1.0172,                 1.2834,              0.0010895,              0.0010895,              0.0010895
                     27,                0.85635,                 1.0138,                  1.198,                  0.941,                 1.1045,                 1.2284,                0.62817,                 0.6919,                0.70335,                0.51877,                0.87533,                0.98674,                 1.2596,                  0.925,                 1.0028,                 1.2774,              0.0010753,              0.0010753,              0.0010753
                     28,                0.84866,                0.99272,                  1.188,                0.92684,                 1.0806,                 1.2163,                0.66411,                0.69033,                0.72134,                0.53482,                0.86867,                0.97498,                 1.2442,                0.90591,                 1.0148,                 1.2623,              0.0010612,              0.0010612,              0.0010612
                     29,                0.83409,                0.96341,                 1.1811,                0.91764,                  1.061,                 1.2096,                0.66341,                0.68707,                 0.7237,                 0.5423,                0.85316,                0.93537,                 1.2328,                 0.8976,                0.96618,                 1.2517,               0.001047,               0.001047,               0.001047
                     30,                0.83267,                0.95267,                 1.1774,                0.91077,                 1.0489,                 1.2094,                0.68928,                0.68312,                0.73024,                0.54855,                0.85076,                0.93491,                   1.23,                0.89215,                0.96571,                  1.249,              0.0010329,              0.0010329,              0.0010329
                     31,                0.81711,                0.92191,                 1.1658,                0.89364,                 1.0223,                 1.1941,                0.65481,                0.68869,                 0.7156,                0.53792,                0.85802,                0.93564,                 1.2433,                0.90404,                0.96874,                 1.2634,              0.0010187,              0.0010187,              0.0010187
                     32,                0.81619,                0.94085,                 1.1703,                0.89229,                 1.0364,                 1.2008,                0.66511,                0.71048,                0.73355,                0.55265,                 0.8527,                0.93309,                 1.2322,                0.90275,                0.95493,                 1.2579,              0.0010046,              0.0010046,              0.0010046
                     33,                0.81524,                0.92224,                 1.1664,                0.89294,                  1.016,                 1.1979,                0.69893,                0.68722,                0.74111,                0.55934,                0.84608,                0.90782,                 1.2356,                0.89193,                0.94721,                 1.2568,             0.00099044,             0.00099044,             0.00099044
