                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79025,                0.88582,                 1.1613,                0.67699,                0.72593,                0.74954,                0.56623,                0.85076,                0.90697,                 1.2736,               0.000948,               0.000948,               0.000948
                     36,                0.78539,                0.88101,                 1.1581,                0.70186,                0.69765,                0.73617,                0.55216,                0.87228,                 0.9297,                 1.2862,             0.00093385,             0.00093385,             0.00093385
                     37,                0.77782,                0.86937,                 1.1462,                0.69469,                0.70066,                0.74861,                0.56617,                0.85158,                0.91938,                 1.2671,              0.0009197,              0.0009197,              0.0009197
                     38,                0.77358,                0.85794,                 1.1465,                0.67802,                0.71978,                0.74799,                0.55866,                0.85907,                 0.9134,                 1.2837,             0.00090556,             0.00090556,             0.00090556
                     39,                0.76918,                0.85293,                 1.1388,                0.69441,                0.71168,                0.75191,                0.56324,                0.85273,                0.90428,                  1.256,             0.00089141,             0.00089141,             0.00089141
                     40,                0.76164,                0.83382,                 1.1384,                0.69887,                0.70224,                 0.7518,                0.56862,                0.85377,                0.90205,                 1.2723,             0.00087726,             0.00087726,             0.00087726
                     41,                0.74502,                0.82015,                 1.1257,                0.69085,                0.71408,                0.74605,                0.57311,                0.82971,                0.89068,                 1.2532,             0.00086312,             0.00086312,             0.00086312
                     42,                0.74224,                0.81339,                 1.1243,                0.70405,                0.72053,                0.75917,                  0.579,                0.84524,                0.88075,                 1.2583,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.7422,                0.79508,                 1.1238,                0.71869,                0.69835,                0.75528,                0.57527,                0.83959,                0.87651,                 1.2553,             0.00083482,             0.00083482,             0.00083482
                     44,                0.73574,                 0.7757,                 1.1102,                0.70601,                0.72037,                0.75538,                0.57579,                0.84228,                0.88843,                 1.2656,             0.00082067,             0.00082067,             0.00082067
                     45,                0.73477,                0.77885,                 1.1177,                0.70712,                0.70318,                0.75066,                0.57377,                0.84017,                0.88038,                 1.2575,             0.00080653,             0.00080653,             0.00080653
                     46,                0.72611,                0.77427,                 1.1097,                 0.7074,                 0.7159,                0.76408,                0.58269,                0.83949,                0.87556,                 1.2637,             0.00079238,             0.00079238,             0.00079238
                     47,                0.71681,                0.75371,                 1.1026,                0.71085,                 0.7232,                0.75798,                 0.5779,                0.83499,                0.88208,                 1.2578,             0.00077823,             0.00077823,             0.00077823
                     48,                0.70916,                0.72962,                 1.0934,                0.70972,                0.72762,                0.76279,                0.58522,                0.83894,                 0.8751,                 1.2603,             0.00076409,             0.00076409,             0.00076409
                     49,                0.70227,                0.73451,                 1.0925,                0.72644,                0.70739,                0.76256,                0.58781,                0.82811,                0.88933,                 1.2551,             0.00074994,             0.00074994,             0.00074994
                     50,                0.69779,                0.73221,                 1.0899,                0.70232,                0.72143,                0.75725,                0.58644,                 0.8192,                0.88149,                 1.2438,             0.00073579,             0.00073579,             0.00073579
                     51,                0.70004,                0.72108,                 1.0868,                0.70992,                0.73327,                0.76389,                0.58729,                0.82653,                0.86656,                 1.2487,             0.00072164,             0.00072164,             0.00072164
                     52,                0.68593,                0.70168,                 1.0847,                0.72646,                0.72039,                0.76729,                0.59275,                0.82358,                0.85382,                 1.2553,              0.0007075,              0.0007075,              0.0007075
                     53,                0.68176,                0.69548,                 1.0752,                0.71367,                 0.7222,                0.76361,                0.58879,                0.82272,                0.87909,                 1.2557,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.6785,                0.69667,                  1.075,                0.69481,                  0.738,                0.75847,                0.58678,                0.82073,                0.86578,                 1.2488,              0.0006792,              0.0006792,              0.0006792
                     55,                0.66938,                0.67926,                 1.0725,                 0.7315,                0.71215,                0.75659,                0.58212,                 0.8223,                0.88729,                 1.2661,             0.00066506,             0.00066506,             0.00066506
                     56,                0.67058,                0.66031,                 1.0676,                0.70213,                0.73744,                0.75992,                0.58628,                0.82053,                0.87527,                 1.2562,             0.00065091,             0.00065091,             0.00065091
                     57,                0.66281,                0.66753,                 1.0657,                0.73304,                0.72265,                0.76845,                0.59186,                0.82552,                0.85881,                   1.26,             0.00063676,             0.00063676,             0.00063676
                     58,                0.66469,                0.65244,                 1.0688,                0.73888,                0.71318,                0.76049,                0.58528,                0.82869,                0.89656,                 1.2619,             0.00062262,             0.00062262,             0.00062262
