                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86003,                 1.0035,                 1.2261,                0.66359,                0.69526,                0.73316,                0.55134,                0.86341,                 0.9557,                 1.2929,               0.000948,               0.000948,               0.000948
                     36,                0.85305,                0.99457,                 1.2228,                0.68755,                0.68543,                0.72216,                0.54209,                0.86926,                0.94286,                 1.2915,             0.00093385,             0.00093385,             0.00093385
                     37,                0.84582,                 0.9795,                 1.2123,                0.62211,                0.70362,                0.70294,                0.52705,                 0.8833,                 0.9962,                 1.3096,              0.0009197,              0.0009197,              0.0009197
                     38,                0.84235,                0.96977,                 1.2126,                0.66638,                0.71469,                0.73528,                 0.5453,                 0.8724,                0.94282,                 1.3079,             0.00090556,             0.00090556,             0.00090556
                     39,                0.84243,                0.97527,                 1.2074,                0.70555,                0.68872,                 0.7419,                0.55602,                0.84939,                0.93869,                  1.272,             0.00089141,             0.00089141,             0.00089141
                     40,                0.83161,                0.96295,                 1.2051,                0.69471,                0.68398,                0.74591,                0.56905,                0.85073,                0.91059,                 1.2822,             0.00087726,             0.00087726,             0.00087726
                     41,                0.81348,                0.93299,                 1.1902,                0.66259,                0.70261,                0.71598,                0.54515,                0.84391,                0.95671,                 1.2766,             0.00086312,             0.00086312,             0.00086312
                     42,                0.81526,                0.93358,                 1.1927,                0.68947,                 0.7143,                 0.7497,                0.57111,                0.83715,                0.88855,                 1.2711,             0.00084897,             0.00084897,             0.00084897
                     43,                0.80696,                0.91403,                 1.1904,                0.67161,                0.71189,                0.73638,                0.55716,                0.85237,                0.91754,                 1.2902,             0.00083482,             0.00083482,             0.00083482
                     44,                0.80869,                0.90338,                  1.179,                0.70342,                0.71838,                0.75168,                0.57193,                0.83522,                0.91975,                 1.2708,             0.00082067,             0.00082067,             0.00082067
                     45,                0.79932,                0.90105,                 1.1815,                0.69466,                0.70416,                0.75146,                0.57658,                0.83309,                0.89489,                 1.2663,             0.00080653,             0.00080653,             0.00080653
                     46,                0.79152,                0.89273,                  1.172,                0.67784,                0.74607,                0.75396,                 0.5729,                0.84553,                0.88784,                 1.2827,             0.00079238,             0.00079238,             0.00079238
                     47,                0.78668,                0.87137,                 1.1698,                0.70678,                0.70742,                 0.7505,                0.57294,                0.83742,                0.89906,                 1.2767,             0.00077823,             0.00077823,             0.00077823
                     48,                0.78518,                0.85156,                 1.1625,                0.69755,                0.71619,                0.75666,                 0.5821,                0.82621,                0.88965,                 1.2598,             0.00076409,             0.00076409,             0.00076409
                     49,                0.77121,                0.86046,                 1.1538,                0.69411,                0.72362,                0.76259,                0.58682,                0.82446,                0.87904,                 1.2613,             0.00074994,             0.00074994,             0.00074994
                     50,                0.76682,                0.84314,                 1.1519,                0.69617,                0.71891,                0.76118,                0.58687,                 0.8252,                0.87194,                 1.2624,             0.00073579,             0.00073579,             0.00073579
                     51,                0.76358,                0.83679,                 1.1446,                0.71853,                0.71798,                0.76684,                0.59275,                0.81293,                0.85787,                 1.2446,             0.00072164,             0.00072164,             0.00072164
                     52,                0.75736,                0.83143,                 1.1466,                0.72867,                0.70446,                0.76546,                0.58744,                0.82072,                 0.8682,                 1.2602,              0.0007075,              0.0007075,              0.0007075
                     53,                0.74683,                0.81389,                 1.1388,                0.70352,                0.72623,                0.77259,                 0.5934,                0.82341,                0.86901,                 1.2688,             0.00069335,             0.00069335,             0.00069335
                     54,                0.74809,                0.81505,                 1.1398,                0.72643,                 0.7133,                0.76738,                0.59688,                0.80637,                0.85464,                 1.2482,              0.0006792,              0.0006792,              0.0006792
                     55,                0.73831,                0.80221,                 1.1361,                0.68011,                0.74635,                 0.7602,                0.58455,                0.82473,                 0.8753,                 1.2665,             0.00066506,             0.00066506,             0.00066506
                     56,                0.73518,                0.78209,                 1.1268,                0.72588,                0.71393,                0.75987,                0.58684,                0.80739,                 0.8606,                 1.2493,             0.00065091,             0.00065091,             0.00065091
                     57,                0.72626,                0.78185,                 1.1233,                0.74013,                0.69745,                0.76036,                0.58576,                0.81674,                 0.8681,                 1.2614,             0.00063676,             0.00063676,             0.00063676
                     58,                0.72537,                0.76553,                 1.1314,                0.73119,                 0.7089,                0.77167,                0.59604,                 0.8155,                 0.8482,                 1.2743,             0.00062262,             0.00062262,             0.00062262
                     59,                0.72065,                0.76971,                 1.1215,                0.68811,                0.73397,                 0.7696,                0.59604,                0.81129,                0.85166,                 1.2557,             0.00060847,             0.00060847,             0.00060847
                     60,                0.71903,                0.75721,                 1.1195,                0.72851,                0.70783,                0.76582,                0.58862,                0.81666,                0.86166,                 1.2557,             0.00059432,             0.00059432,             0.00059432
                     61,                0.71631,                0.73572,                  1.113,                0.68232,                0.72857,                0.75722,                0.58426,                0.81439,                0.88525,                 1.2636,             0.00058017,             0.00058017,             0.00058017
                     62,                0.70574,                0.73418,                 1.1087,                 0.7457,                0.71114,                0.76846,                0.59605,                0.80387,                0.84796,                  1.249,             0.00056603,             0.00056603,             0.00056603
                     63,                0.69821,                0.72266,                 1.0962,                0.73174,                0.72247,                0.77724,                0.60143,                0.80942,                0.84627,                 1.2578,             0.00055188,             0.00055188,             0.00055188
                     64,                 0.6948,                0.71477,                 1.1022,                0.72787,                0.71688,                0.76671,                 0.5947,                0.80561,                0.85614,                 1.2604,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69526,                0.71137,                 1.0969,                0.73727,                0.71321,                0.77213,                0.60009,                0.81105,                0.84179,                 1.2579,             0.00052359,             0.00052359,             0.00052359
                     66,                0.69868,                0.71737,                 1.1039,                 0.7264,                0.72436,                0.77135,                0.59704,                0.80774,                0.84962,                 1.2659,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.6825,                0.69135,                  1.092,                0.73474,                0.71381,                0.77015,                0.59847,                0.79791,                0.84735,                 1.2553,             0.00049529,             0.00049529,             0.00049529
                     68,                0.68777,                0.68807,                 1.0898,                0.75202,                0.70092,                0.77599,                 0.6047,                0.80314,                0.83679,                 1.2486,             0.00048114,             0.00048114,             0.00048114
                     69,                0.66869,                0.67176,                 1.0845,                0.72497,                0.72969,                 0.7716,                0.60223,                0.79891,                0.84957,                  1.255,               0.000467,               0.000467,               0.000467
                     70,                 0.6793,                0.67342,                 1.0857,                0.72534,                0.73015,                0.77122,                0.60231,                0.79642,                0.85297,                 1.2498,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.6698,                0.66415,                 1.0798,                0.75058,                0.72121,                0.77102,                0.60294,                0.79561,                0.83511,                 1.2525,              0.0004387,              0.0004387,              0.0004387
                     72,                0.66364,                0.64719,                  1.076,                0.73055,                0.73191,                0.77204,                0.60255,                0.80252,                0.84378,                 1.2518,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.6612,                0.64475,                 1.0726,                0.74694,                0.71308,                0.76797,                0.59966,                0.79995,                0.84396,                 1.2542,             0.00041041,             0.00041041,             0.00041041
                     74,                0.65192,                0.64294,                 1.0645,                0.72774,                0.73157,                0.76635,                0.59778,                0.80409,                0.84858,                 1.2574,             0.00039626,             0.00039626,             0.00039626
                     75,                0.64378,                0.61857,                 1.0652,                0.72217,                0.72247,                0.76478,                 0.5981,                0.80218,                0.85812,                 1.2584,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.6423,                0.61378,                  1.063,                0.72969,                0.73262,                0.77287,                0.60296,                0.81419,                   0.85,                 1.2606,             0.00036797,             0.00036797,             0.00036797
                     77,                0.63582,                0.59436,                  1.054,                0.73022,                 0.7385,                0.77304,                0.60539,                0.80956,                0.85382,                 1.2602,             0.00035382,             0.00035382,             0.00035382
                     78,                0.63491,                0.60306,                 1.0601,                0.70671,                 0.7534,                0.76733,                0.60338,                0.80425,                0.84956,                 1.2642,             0.00033967,             0.00033967,             0.00033967
                     79,                0.62369,                0.58632,                 1.0493,                 0.7071,                0.74992,                0.76876,                0.60489,                 0.7975,                0.85527,                 1.2585,             0.00032553,             0.00032553,             0.00032553
